Strain ID	Plasmid ID
DBS0236061	373
DBS0236062	374
DBS0238242	376
DBS0238157	378
DBS0235440	385
DBS0235441	385
DBS0236065	410
DBS0237274	410
DBS0236184	410
DBS0236188	410
DBS0237108	410
DBS0349930	410
DBS0235443	410
DBS0236702	410
DBS0237118	410
DBS0349999	410
DBS0236181	410
DBS0349919	410
DBS0349920	410
DBS0349921	410
DBS0349922	410
DBS0349923	410
DBS0236827	410
DBS0237232	410
DBS0236826	410
DBS0236538	414
DBS0235546	455
DBS0304614	455
DBS0236448	455
DBS0237809	455
DBS0306103	455
DBS0235566	455
DBS0235570	455
DBS0237011	455
DBS0235412	455
DBS0235414	455
DBS0236609	455
DBS0236743	455
DBS0237008	455
DBS0235429	461
DBS0237538	463
DBS0237566	463
DBS0349902	467
DBS0349956	467
DBS0349946	467
DBS0305979	471
DBS0305978	471
DBS0237937	472
DBS0237938	472
DBS0266673	472
DBS0266674	472
DBS0236505	475
DBS0236504	475
DBS0236549	475
DBS0235507	484
DBS0235508	485
DBS0235506	486
DBS0235505	488
DBS0309039	490
DBS0236777	510
DBS0349795	550
DBS0238001	574
DBS0236469	582
DBS0349813	583
DBS0236468	584
DBS0305613	587
DBS0307935	606
DBS0307943	606
DBS0349815	613
DBS0349807	613
DBS0349814	613
DBS0302672	613
DBS0236070	613
DBS0302673	613
DBS0349816	615
DBS0349819	615
DBS0349817	615
DBS0349818	615
DBS0349672	734
DBS0349674	736
DBS0349680	742
DBS0349724	778
DBS0349701	780
DBS0349704	781
DBS0349706	783
DBS0349708	784
DBS0349711	786
DBS0349712	787
DBS0349715	788
DBS0349718	789
DBS0349721	790
DBS0236445	791
DBS0236446	791
DBS0236447	791
DBS0236449	791
DBS0236450	791
DBS0236454	791
DBS0349731	792
DBS0349734	793
DBS0349737	794
DBS0349738	795
DBS0349739	796
DBS0349740	797
DBS0349741	798
DBS0349742	799
DBS0349743	800
DBS0349863	805
DBS0236605	813
DBS0349912	813
DBS0349913	813
DBS0349914	813
DBS0349915	813
DBS0349916	813
DBS0349917	813
DBS0349918	813
DBS0349940	813
DBS0349968	813
DBS0349969	813
DBS0349970	813
DBS0349971	813
DBS0349962	817
DBS0349950	822
DBS0349951	822
DBS0349952	822
DBS0349955	824
DBS0349957	830
DBS0349958	830
DBS0349963	830
DBS0236782	839
DBS0237190	839
DBS0236004	839
DBS0238601	839
DBS0236830	839
DBS0302674	839
DBS0349844	839
DBS0350028	839
DBS0235969	839
DBS0237051	839
DBS0304926	839
DBS0304927	839
DBS0305025	839
DBS0305026	839
DBS0349906	839
DBS0235660	839
DBS0266692	839
DBS0235661	839
DBS0235994	839
DBS0236779	839
DBS0236796	839
DBS0236123	839
DBS0235427	839
DBS0236991	839
DBS0266759	839
DBS0235489	839
DBS0235509	839
DBS0238142	839
DBS0235577	839
DBS0235578	839
DBS0304391	839
DBS0304409	839
DBS0304547	839
DBS0304723	839
DBS0305825	839
DBS0306166	839
DBS0306167	839
DBS0306168	839
DBS0349789	839
DBS0349797	839
DBS0349869	839
DBS0236113	839
DBS0350025	839
DBS0235425	839
DBS0235962	839
DBS0236114	839
DBS0238357	839
DBS0236603	839
DBS0236608	839
DBS0236610	839
DBS0236612	839
DBS0236613	839
DBS0236745	839
DBS0236746	839
DBS0236748	839
DBS0236749	839
DBS0236841	839
DBS0237262	839
DBS0238474	839
DBS0238686	839
DBS0266703	839
DBS0266704	839
DBS0266705	839
DBS0302370	839
DBS0302534	839
DBS0302590	839
DBS0304486	839
DBS0304487	839
DBS0304496	839
DBS0306196	839
DBS0349964	839
DBS0349986	839
DBS0350019	839
DBS0350043	839
DBS0350051	839
DBS0350059	839
DBS0350060	839
DBS0350061	839
DBS0350065	839
DBS0350038	839
DBS0350039	839
DBS0350040	839
DBS0350041	839
DBS0350017	839
DBS0237017	839
DBS0235616	839
DBS0236419	839
DBS0236989	839
DBS0236009	839
DBS0236868	839
DBS0236869	839
DBS0236870	839
DBS0236011	839
DBS0236871	839
DBS0236109	839
DBS0236153	839
DBS0236491	839
DBS0236492	839
DBS0266776	839
DBS0266777	839
DBS0266778	839
DBS0235949	839
DBS0237265	839
DBS0252641	839
DBS0349933	839
DBS0236122	839
DBS0236434	839
DBS0236124	839
DBS0236125	839
DBS0236126	839
DBS0236127	839
DBS0304814	839
DBS0304970	839
DBS0304985	839
DBS0305312	839
DBS0238382	839
DBS0238383	839
DBS0238384	839
DBS0236728	839
DBS0236734	839
DBS0236762	839
DBS0236764	839
DBS0238665	839
DBS0236780	839
DBS0236781	839
DBS0236923	839
DBS0236784	839
DBS0238681	839
DBS0238682	839
DBS0238683	839
DBS0236799	839
DBS0266984	839
DBS0266985	839
DBS0266986	839
DBS0266987	839
DBS0266988	839
DBS0266989	839
DBS0266990	839
DBS0266991	839
DBS0266992	839
DBS0266993	839
DBS0266994	839
DBS0266995	839
DBS0266996	839
DBS0266997	839
DBS0266998	839
DBS0266999	839
DBS0267000	839
DBS0267001	839
DBS0238098	839
DBS0238099	839
DBS0236921	839
DBS0305192	839
DBS0305195	839
DBS0305196	839
DBS0305197	839
DBS0305198	839
DBS0307936	839
DBS0349911	839
DBS0236880	839
DBS0236906	839
DBS0236908	839
DBS0236936	839
DBS0237271	839
DBS0237031	839
DBS0237032	839
DBS0237035	839
DBS0237014	839
DBS0305977	840
DBS0252631	840
DBS0349876	840
DBS0349878	840
DBS0349879	840
DBS0349880	840
DBS0349884	840
DBS0349885	840
DBS0349886	840
DBS0349887	840
DBS0349888	840
DBS0349891	840
DBS0349892	840
DBS0349794	840
DBS0236154	840
DBS0236907	840
DBS0236909	840
DBS0236910	840
DBS0235998	841
DBS0237601	841
DBS0237614	841
DBS0237615	841
DBS0237616	841
DBS0237617	841
DBS0237622	841
DBS0266720	841
DBS0266721	841
DBS0236735	842
DBS0237187	842
DBS0237186	842
