!gpi-version: 1.1
!namespace: dictyBase
DDB_G0275875	DDB_G0275875	nuclear transport factor 2		gene	taxon:44689		UniProtKB:Q552Z5|UniProtKB:Q552Z5|UniProtKB:Q552Z5	
DDB_G0275907	DDB_G0275907_ps	Retinal dehydrogenase 1		gene	taxon:44689			
DDB_G0275961	DDB_G0275961			gene	taxon:44689		UniProtKB:Q552J4|UniProtKB:Q552J4	
DDB_G0275967	DDB_G0275967	protein kinase SplB	FAAH|Dd2|anandamide hydrolyzing enzyme	gene	taxon:44689		UniProtKB:Q8MMR8|UniProtKB:Q8MMR8	
DDB_G0275973	DDB_G0275973	protein kinase SplB		gene	taxon:44689		UniProtKB:Q552K6|UniProtKB:Q552K6	
DDB_G0275987	DDB_G0275987	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q552M0|UniProtKB:Q552M0	
DDB_G0276031	DDB_G0276031	Retinal dehydrogenase 1	AAC3	gene	taxon:44689		UniProtKB:P14197|UniProtKB:P14197|UniProtKB:P14197	
DDB_G0276089	DDB_G0276089			gene	taxon:44689		UniProtKB:Q75JJ3|UniProtKB:Q75JJ3	
DDB_G0276103	enlA	Retinal dehydrogenase 1	fimB	gene	taxon:44689		UniProtKB:Q75JH9|UniProtKB:Q75JH9	
DDB_G0276129	cdc123	protein kinase SplB		gene	taxon:44689		UniProtKB:Q75JF9|UniProtKB:Q75JF9	
DDB_G0276139	DDB_G0276139			gene	taxon:44689		UniProtKB:Q75JF2	
DDB_G0276151	DDB_G0276151	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q75JJ9|UniProtKB:Q75JJ9	
DDB_G0276161	DDB_G0276161	nuclear transport factor 2		gene	taxon:44689		UniProtKB:Q75JF1|UniProtKB:Q75JF1	
DDB_G0276171	DDB_G0276171_RTE	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q551Z5	
DDB_G0276179	DDB_G0276179	nuclear transport factor 2		gene	taxon:44689		UniProtKB:Q552B4|UniProtKB:Q552B4	
DDB_G0276189	DDB_G0276189			gene	taxon:44689		UniProtKB:Q552C9|UniProtKB:Q552C9	
DDB_G0276203	DDB_G0276203			gene	taxon:44689		UniProtKB:Q552I8|UniProtKB:Q552I8	
DDB_G0276207	iliL_ps	Retinal dehydrogenase 1		gene	taxon:44689			
DDB_G0276219	DDB_G0276219	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q552D6|UniProtKB:Q552D6	
DDB_G0276225	DDB_G0276225	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q552F9|UniProtKB:Q552F9	
DDB_G0276235	DDB_G0276235			gene	taxon:44689		UniProtKB:Q552E8|UniProtKB:Q552E8	
DDB_G0276255	DDB_G0276255	protein kinase SplB		gene	taxon:44689		UniProtKB:Q551Y5|UniProtKB:Q551Y5	
DDB_G0281337	rab14	Retinal dehydrogenase 1	rab4|rabD	gene	taxon:44689		UniProtKB:P36410|UniProtKB:P36410|UniProtKB:P36410	
DDB_G0281341	DDB_G0281341			gene	taxon:44689		UniProtKB:Q54U34|UniProtKB:Q54U34	
DDB_G0281369	DDB_G0281369	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54U33|UniProtKB:Q54U33	
DDB_G0281387	srfA	Retinal dehydrogenase 1	SRF|DdSRF	gene	taxon:44689		UniProtKB:Q54TY7|UniProtKB:Q54TY7|UniProtKB:Q54TY7	
DDB_G0281405	DDB_G0281405			gene	taxon:44689			
DDB_G0281443	DDB_G0281443	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54TY1|UniProtKB:Q54TY1	
DDB_G0281445	fam63B	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54TY0|UniProtKB:Q54TY0	
DDB_G0281481	DDB_G0281481			gene	taxon:44689		UniProtKB:Q54TV5|UniProtKB:Q54TV5	
DDB_G0281497	DDB_G0281497			gene	taxon:44689		UniProtKB:Q54TU3|UniProtKB:Q54TU3	
DDB_G0281509	DDB_G0281509	nuclear transport factor 2		gene	taxon:44689		UniProtKB:Q54TT5|UniProtKB:Q54TT5	
DDB_G0281515	DDB_G0281515	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54TT2|UniProtKB:Q54TT2	
DDB_G0281525	DDB_G0281525			gene	taxon:44689			
DDB_G0281557	drkD	mitochondrial transcription factor B	rsc21	gene	taxon:44689		UniProtKB:Q54TM7|UniProtKB:Q54TM7|UniProtKB:Q54TM7	
DDB_G0281611	DDB_G0281611	nuclear transport factor 2		gene	taxon:44689		UniProtKB:Q54TQ8|UniProtKB:Q54TQ8	
DDB_G0281621	DDB_G0281621	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54TQ2|UniProtKB:Q54TQ2	
DDB_G0281629	DDB_G0281629_ps	Retinal dehydrogenase 1		gene	taxon:44689			
DDB_G0281639	DDB_G0281639	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54TN9|UniProtKB:Q54TN9	
DDB_G0281657	DDB_G0281657	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54TM9|UniProtKB:Q54TM9	
DDB_G0281699	DDB_G0281699	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54TK2|UniProtKB:Q54TK2	
DDB_G0281713	DDB_G0281713			gene	taxon:44689		UniProtKB:Q54TJ3|UniProtKB:Q54TJ3	
DDB_G0281725	ube2m	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54TI6|UniProtKB:Q54TI6	
DDB_G0281729	DDB_G0281729			gene	taxon:44689		UniProtKB:Q54TI4|UniProtKB:Q54TI4	
DDB_G0281735	DDB_G0281735	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54TI1|UniProtKB:Q54TI1	
DDB_G0281779	lsm2	LRRK family protein kinase Roco8		gene	taxon:44689		UniProtKB:Q54TF6|UniProtKB:Q54TF6	
DDB_G0281783	DDB_G0281783			gene	taxon:44689		UniProtKB:Q54TF2|UniProtKB:Q54TF2	
DDB_G0281789	DDB_G0281789	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54TE6|UniProtKB:Q54TE6	
DDB_G0281813	DDB_G0281813	nuclear transport factor 2		gene	taxon:44689		UniProtKB:Q54TJ6|UniProtKB:Q54TJ6	
DDB_G0286621	fncJ	Retinal dehydrogenase 1	FANCJ	gene	taxon:44689		UniProtKB:Q54LI7|UniProtKB:Q54LI7	
DDB_G0286629	DDB_G0286629			gene	taxon:44689		UniProtKB:Q54LH7|UniProtKB:Q54LH7	
DDB_G0286635	DDB_G0286635			gene	taxon:44689		UniProtKB:Q54LH4	
DDB_G0286645	cstf3	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54LG7|UniProtKB:Q54LG7	
DDB_G0286647	ecmD	protein kinase SplB	sheathin D|ShD	gene	taxon:44689		UniProtKB:Q54LG5|UniProtKB:Q54LG5	
DDB_G0286653	aplO	protein kinase SplB	saposin-like protein O	gene	taxon:44689		UniProtKB:Q54LG1|UniProtKB:Q54LG1	
DDB_G0286663	ecmC	protein kinase SplB	ShC|sheathin C	gene	taxon:44689		UniProtKB:Q54LF5|UniProtKB:Q54LF5	
DDB_G0286667	DDB_G0286667	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54LF2|UniProtKB:Q54LF2	
DDB_G0286669	DDB_G0286669	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54LF1|UniProtKB:Q54LF1	
DDB_G0286683	DDB_G0286683			gene	taxon:44689		UniProtKB:Q54LE2|UniProtKB:Q54LE2	
DDB_G0286705	cog7	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54LC8|UniProtKB:Q54LC8	
DDB_G0286707	DDB_G0286707	stress-associated endoplasmic reticulum protein		gene	taxon:44689		UniProtKB:Q54LC7|UniProtKB:Q54LC7	
DDB_G0286737	DDB_G0286737			gene	taxon:44689		UniProtKB:Q54LB1|UniProtKB:Q54LB1	
DDB_G0286741	DDB_G0286741			gene	taxon:44689		UniProtKB:Q54LA9|UniProtKB:Q54LA9	
DDB_G0286759	DDB_G0286759	nuclear transport factor 2		gene	taxon:44689		UniProtKB:Q54L98|UniProtKB:Q54L98	
DDB_G0286761	DDB_G0286761			gene	taxon:44689		UniProtKB:Q54L97|UniProtKB:Q54L97	
DDB_G0286785	DDB_G0286785			gene	taxon:44689			
DDB_G0286801	DDB_G0286801			gene	taxon:44689		UniProtKB:Q54LI6|UniProtKB:Q54LI6	
DDB_G0286811	DDB_G0286811	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54LH0|UniProtKB:Q54LH0	
DDB_G0286815	DDB_G0286815_ps	Retinal dehydrogenase 1		gene	taxon:44689			
DDB_G0286829	DDB_G0286829			gene	taxon:44689		UniProtKB:Q54L87|UniProtKB:Q54L87	
DDB_G0286833	DDB_G0286833	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54L85|UniProtKB:Q54L85	
DDB_G0286835	DDB_G0286835			gene	taxon:44689		UniProtKB:Q54L84|UniProtKB:Q54L84	
DDB_G0286857	glod5	protein kinase SplB		gene	taxon:44689		UniProtKB:Q54L71|UniProtKB:Q54L71	
DDB_G0286873	DDB_G0286873			gene	taxon:44689		UniProtKB:Q54L64|UniProtKB:Q54L64	
DDB_G0286883	DDB_G0286883	protein kinase SplB		gene	taxon:44689		UniProtKB:Q54L59|UniProtKB:Q54L59	
DDB_G0286887	DDB_G0286887			gene	taxon:44689		UniProtKB:Q54L57|UniProtKB:Q54L57	
DDB_G0286895	grlD	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54L53|UniProtKB:Q54L53	
DDB_G0286899	DDB_G0286899			gene	taxon:44689		UniProtKB:Q54L51|UniProtKB:Q54L51	
DDB_G0286905	pspE	Retinal dehydrogenase 1	1I	gene	taxon:44689		UniProtKB:Q9GP84|UniProtKB:Q9GP84|UniProtKB:Q9GP84	
DDB_G0286925	DDB_G0286925	Retinal dehydrogenase 1	estA	gene	taxon:44689		UniProtKB:Q54L36|UniProtKB:Q54L36	
DDB_G0286957	DDB_G0286957			gene	taxon:44689		UniProtKB:Q54L15|UniProtKB:Q54L15	
DDB_G0286959	DDB_G0286959	nuclear transport factor 2		gene	taxon:44689		UniProtKB:Q54L12|UniProtKB:Q54L12	
DDB_G0286973	DDB_G0286973			gene	taxon:44689		UniProtKB:Q54L18|UniProtKB:Q54L18	
DDB_G0287003	DDB_G0287003	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54KZ9|UniProtKB:Q54KZ9	
DDB_G0287005	DDB_G0287005	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54KZ8|UniProtKB:Q54KZ8	
DDB_G0287013	DDB_G0287013			gene	taxon:44689		UniProtKB:Q54KZ1|UniProtKB:Q54KZ1	
DDB_G0287017	DDB_G0287017	protein kinase SplB		gene	taxon:44689		UniProtKB:Q54KY9|UniProtKB:Q54KY9	
DDB_G0287019	med9	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54KY8|UniProtKB:Q54KY8	
DDB_G0287037	DDB_G0287037	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54KY5|UniProtKB:Q54KY5	
DDB_G0287039	DDB_G0287039			gene	taxon:44689		UniProtKB:Q54KY3|UniProtKB:Q54KY3	
DDB_G0287049	DDB_G0287049			gene	taxon:44689			
DDB_G0287067	DDB_G0287067			gene	taxon:44689		UniProtKB:Q54KW1|UniProtKB:Q54KW1	
DDB_G0287101	noxB	Retinal dehydrogenase 1	gp91phox	gene	taxon:44689		UniProtKB:Q86GL4|UniProtKB:Q86GL4|UniProtKB:Q86GL4	
DDB_G0287113	DDB_G0287113			gene	taxon:44689		UniProtKB:Q54KW6|UniProtKB:Q54KW6	
DDB_G0287115	DDB_G0287115			gene	taxon:44689		UniProtKB:Q54KW2|UniProtKB:Q54KW2	
DDB_G0287125	proA	stress-associated endoplasmic reticulum protein		gene	taxon:44689		UniProtKB:P26199|UniProtKB:P26199|UniProtKB:P26199	
DDB_G0287141	phesA	Retinal dehydrogenase 1	pheS|PheRS	gene	taxon:44689		UniProtKB:Q54KS8|UniProtKB:Q54KS8	
DDB_G0287145	DDB_G0287145			gene	taxon:44689		UniProtKB:Q54KS5|UniProtKB:Q54KS5	
DDB_G0287197	ncbp2	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54KR9|UniProtKB:Q54KR9	
DDB_G0287213	rcdJJ	stress-associated endoplasmic reticulum protein	veg110	gene	taxon:44689		UniProtKB:Q54KN1|UniProtKB:Q54KN1|UniProtKB:Q54KN1	
DDB_G0287235	DDB_G0287235_ps	Retinal dehydrogenase 1		gene	taxon:44689			
DDB_G0287239	DDB_G0287239			gene	taxon:44689		UniProtKB:Q54KM4|UniProtKB:Q54KM4	
DDB_G0287279	DDB_G0287279	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54KL1|UniProtKB:Q54KL1	
DDB_G0287283	DDB_G0287283			gene	taxon:44689		UniProtKB:Q54KK8|UniProtKB:Q54KK8	
DDB_G0287307	gtf2e2	Retinal dehydrogenase 1	TFIIE2	gene	taxon:44689		UniProtKB:Q54KJ8|UniProtKB:Q54KJ8	
DDB_G0287317	DDB_G0287317	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54KJ1|UniProtKB:Q54KJ1	
DDB_G0287325	DDB_G0287325	AP2 complex protein Eps15		gene	taxon:44689		UniProtKB:Q54KI4|UniProtKB:Q54KI4	
DDB_G0287337	taf5	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54KH7|UniProtKB:Q54KH7	
DDB_G0287369	DDB_G0287369			gene	taxon:44689		UniProtKB:Q54KF4|UniProtKB:Q54KF4	
DDB_G0287375	DDB_G0287375			gene	taxon:44689		UniProtKB:Q54KE9|UniProtKB:Q54KE9	
DDB_G0287391	ranbp1	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54KD9|UniProtKB:Q54KD9	
DDB_G0287403	DDB_G0287403	nuclear transport factor 2		gene	taxon:44689		UniProtKB:Q54KD3|UniProtKB:Q54KD3	
DDB_G0287407	DDB_G0287407	Retinal dehydrogenase 1		gene	taxon:44689		UniProtKB:Q54KD0|UniProtKB:Q54KD0	
DDB_G0287411	DDB_G0287411			gene	taxon:44689		UniProtKB:Q54KC8|UniProtKB:Q54KC8	
