DBS0236443	mutant
DBS0235759	natural isolate
DBS0236642	drug resistant
DBS0236642	mutant
DBS0236689	drug resistant
DBS0236689	mutant
DBS0236689	temperature sensitive mutant
DBS0236867	neomycin resistant
DBS0236867	overexpressor
DBS0236867	axenic
DBS0236867	mutant
DBS0236867	constitutively active mutant
DBS0235559	blasticidin resistant
DBS0235559	axenic
DBS0235559	null mutant
DBS0236876	axenic
DBS0236876	null mutant
DBS0236456	overexpressor
DBS0236456	neomycin resistant
DBS0236456	axenic
DBS0236456	null mutant
DBS0236488	drug resistant
DBS0236396	drug resistant
DBS0236396	mutant
DBS0236396	temperature sensitive mutant
DBS0236645	drug resistant
DBS0236645	mutant
DBS0236645	temperature sensitive mutant
DBS0236398	drug resistant
DBS0236398	axenic
DBS0236398	mutant
DBS0236674	drug resistant
DBS0236674	mutant
DBS0236674	temperature sensitive mutant
DBS0236618	drug resistant
DBS0236618	mutant
DBS0236618	temperature sensitive mutant
DBS0236653	drug resistant
DBS0236653	mutant
DBS0236395	drug resistant
DBS0236395	mutant
DBS0236652	axenic
DBS0236369	drug resistant
DBS0236369	axenic
DBS0236369	null mutant
DBS0236641	drug resistant
DBS0236641	mutant
DBS0236641	temperature sensitive mutant
DBS0236694	drug resistant
DBS0236694	mutant
DBS0236694	temperature sensitive mutant
DBS0236639	axenic
DBS0236639	temperature sensitive mutant
DBS0236265	drug resistant
DBS0236265	mutant
DBS0236265	temperature sensitive mutant
DBS0236408	drug resistant
DBS0236408	mutant
DBS0236408	temperature sensitive mutant
DBS0236148	axenic
DBS0236148	temperature sensitive mutant
DBS0235893	natural isolate
DBS0236276	mutant
DBS0236276	temperature sensitive mutant
DBS0236276	drug resistant
DBS0236962	neomycin resistant
DBS0236962	overexpressor
DBS0236962	axenic
DBS0236962	mutant
DBS0237060	non-axenic
DBS0237060	drug resistant
DBS0237060	mutant
DBS0237060	temperature sensitive mutant
DBS0235972	null mutant
DBS0235562	axenic
DBS0235562	null mutant
DBS0236138	axenic
DBS0236138	null mutant
DBS0236138	temperature sensitive mutant
DBS0236638	drug resistant
DBS0236638	mutant
DBS0236638	temperature sensitive mutant
DBS0236670	drug resistant
DBS0236670	mutant
DBS0236670	temperature sensitive mutant
DBS0236391	drug resistant
DBS0236391	null mutant
DBS0235761	natural isolate
DBS0236683	axenic
DBS0236683	mutant
DBS0236677	drug resistant
DBS0236677	mutant
DBS0236677	temperature sensitive mutant
DBS0236643	drug resistant
DBS0236643	mutant
DBS0235700	axenic
DBS0235700	uracil auxotroph
DBS0237044	overexpressor
DBS0237044	neomycin resistant
DBS0237044	axenic
DBS0237044	mutant
DBS0236428	drug resistant
DBS0236428	axenic
DBS0236428	mutant
DBS0236184	neomycin resistant
DBS0236184	GFP marked
DBS0236184	drug resistant
DBS0236184	axenic
DBS0236184	mutant
DBS0236188	neomycin resistant
DBS0236188	drug resistant
DBS0236188	axenic
DBS0236188	GFP marked
DBS0236188	mutant
DBS0236362	blasticidin resistant
DBS0236362	neomycin resistant
DBS0236362	drug resistant
DBS0236362	axenic
DBS0236362	mutant
DBS0236229	axenic
DBS0236229	uracil auxotroph
DBS0236254	drug resistant
DBS0236254	mutant
DBS0235814	natural isolate
DBS0235859	natural isolate
DBS0236528	overexpressor
DBS0236528	axenic
DBS0236528	null mutant
DBS0236528	neomycin resistant
DBS0236528	rescued
DBS0235537	neomycin resistant
DBS0235537	GFP marked
DBS0235537	overexpressor
DBS0235537	axenic
DBS0235537	mutant
DBS0235548	neomycin resistant
DBS0235548	GFP marked
DBS0235548	overexpressor
DBS0235548	axenic
DBS0235548	mutant
DBS0236486	axenic
DBS0235564	neomycin resistant
DBS0235564	axenic
DBS0235564	GFP marked
DBS0235564	mutant
DBS0235565	neomycin resistant
DBS0235565	axenic
DBS0235565	YFP marked
