DBP0000047,CGM_DDB_JAKOB,2005-08-02 13:59:15,2013-05-29 11:11:14
DBP0000051,CGM_DDB_JAKOB,2005-08-02 14:56:19,2013-11-22 14:49:22
DBP0000178,CGM_DDB_STEPHY,2005-08-09 12:17:00,2013-05-29 11:56:43
DBP0000179,CGM_DDB_STEPHY,2005-08-09 12:24:07,2013-05-29 11:58:41
DBP0000180,CGM_DDB_STEPHY,2005-08-09 12:29:59,2013-05-29 11:57:33
DBP0000181,CGM_DDB_STEPHY,2005-08-09 12:34:17,2013-05-29 11:58:13
DBP0000182,CGM_DDB_STEPHY,2005-08-09 12:45:47,2013-05-29 11:52:14
DBP0000183,CGM_DDB_STEPHY,2005-08-09 13:16:37,2013-05-29 11:52:56
DBP0000184,CGM_DDB_STEPHY,2005-08-09 13:25:25,2013-05-29 11:50:59
DBP0000185,CGM_DDB_STEPHY,2005-10-05 15:52:17,2013-05-28 11:20:25
DBP0000186,CGM_DDB_STEPHY,2005-09-22 14:05:29,2013-05-28 11:19:30
DBP0000187,CGM_DDB_STEPHY,2005-08-09 13:55:24,2019-06-04 15:38:10
DBP0000188,CGM_DDB_STEPHY,2006-01-26 14:08:13,2013-05-28 12:57:36
DBP0000189,CGM_DDB_JAKOB,2005-08-09 14:16:46,2013-05-29 11:53:44
DBP0000190,CGM_DDB_STEPHY,2005-08-09 15:56:23,2013-05-29 11:54:25
DBP0000191,CGM_DDB_STEPHY,2005-11-23 14:55:53,2013-05-28 14:25:24
DBP0000192,CGM_DDB_STEPHY,2005-08-09 15:58:05,2013-05-29 11:55:19
DBP0000193,CGM_DDB_STEPHY,2005-08-09 15:50:50,2013-05-29 11:55:05
DBP0000198,CGM_DDB_STEPHY,2005-08-10 13:45:10,2013-07-31 14:27:07
DBP0000075,CGM_DDB_STEPHY,2005-03-10 14:50:52,2012-05-30 10:33:43
DBP0000076,CGM_DDB_STEPHY,2005-03-10 14:58:52,2012-05-30 10:35:33
DBP0000077,CGM_DDB_STEPHY,2005-03-10 15:00:33,2012-05-30 10:35:41
DBP0000078,CGM_DDB_STEPHY,2005-09-19 14:27:00,2019-06-04 15:37:32
DBP0000079,CGM_DDB_STEPHY,2005-11-28 13:42:34,2013-05-28 14:22:42
DBP0000080,CGM_DDB_STEPHY,2005-11-28 13:49:03,2013-05-28 14:23:48
DBP0000081,CGM_DDB_STEPHY,2005-12-07 11:08:26,2012-11-19 23:03:38
DBP0000082,CGM_DDB_STEPHY,2006-02-06 16:38:26,2013-05-24 13:43:26
DBP0000083,CGM_DDB_STEPHY,2005-11-15 17:40:20,2013-05-28 14:30:29
DBP0000084,CGM_DDB_STEPHY,2005-10-08 21:48:35,2013-05-29 10:36:02
DBP0000085,CGM_DDB_STEPHY,2005-03-10 15:20:18,2012-05-30 10:35:54
DBP0000086,CGM_DDB_STEPHY,2005-03-10 15:21:19,2012-05-30 10:36:58
DBP0000087,CGM_DDB_STEPHY,2005-11-15 17:33:08,2013-05-28 14:29:16
DBP0000088,CGM_DDB_STEPHY,2005-10-08 21:44:06,2013-05-24 13:35:12
DBP0000089,CGM_DDB_STEPHY,2005-11-28 15:13:14,2018-10-01 16:34:03
DBP0000090,CGM_DDB_STEPHY,2005-03-14 15:46:35,2012-05-30 10:37:30
DBP0000091,CGM_DDB_STEPHY,2005-09-20 11:26:33,2013-05-28 11:18:10
DBP0000092,CGM_DDB_STEPHY,2005-03-14 15:48:30,2012-05-30 10:38:02
DBP0000093,CGM_DDB_JAKOB,2005-03-14 15:51:24,2012-05-30 10:39:00
DBP0000094,CGM_DDB_JAKOB,2005-04-29 15:13:47,2012-05-30 10:58:27
DBP0000095,CGM_DDB_JAKOB,2005-11-04 12:42:37,2013-05-29 10:52:22
DBP0000096,CGM_DDB_JAKOB,2005-04-29 15:54:09,2012-05-30 10:58:57
DBP0000097,CGM_DDB_JAKOB,2005-03-15 13:14:58,2012-05-30 10:52:39
DBP0000109,CGM_DDB_JAKOB,2005-04-27 11:41:11,2013-05-28 13:16:11
DBP0000110,CGM_DDB_JAKOB,2005-04-27 11:41:41,2013-05-28 13:16:56
DBP0000111,CGM_DDB_JAKOB,2005-07-20 13:35:44,2013-05-29 11:03:11
DBP0000049,CGM_DDB_JAKOB,2005-08-02 15:14:48,2013-05-29 11:12:32
DBP0000050,CGM_DDB_JAKOB,2005-08-02 15:35:54,2013-05-29 11:04:02
DBP0000052,CGM_DDB_STEPHY,2005-10-05 15:46:00,2013-05-28 11:16:31
DBP0000053,CGM_DDB_STEPHY,2005-03-10 11:48:53,2013-08-14 12:36:09
DBP0000054,CGM_DDB_STEPHY,2005-11-15 16:33:08,2012-05-30 11:03:50
DBP0000055,CGM_DDB_STEPHY,2005-11-15 16:19:00,2013-05-24 13:38:01
DBP0000056,CGM_DDB_STEPHY,2005-11-15 16:44:27,2012-11-19 22:51:03
DBP0000057,CGM_DDB_STEPHY,2005-11-15 17:31:54,2013-05-28 14:30:02
DBP0000058,CGM_DDB_STEPHY,2005-11-30 09:31:14,2013-05-28 14:27:00
DBP0000059,CGM_DDB_STEPHY,2005-11-30 15:08:09,2019-06-04 15:36:45
DBP0000060,CGM_DDB_STEPHY,2005-05-10 17:58:04,2012-05-30 11:00:02
DBP0000061,CGM_DDB_STEPHY,2005-05-10 17:58:51,2012-05-30 11:00:39
DBP0000062,CGM_DDB_STEPHY,2005-07-07 13:37:28,2013-05-29 11:01:28
DBP0000063,CGM_DDB_STEPHY,2005-03-14 15:55:41,2012-05-30 10:52:27
DBP0000064,CGM_DDB_STEPHY,2005-11-28 15:18:15,2013-05-28 14:25:54
DBP0000065,CGM_DDB_STEPHY,2005-08-09 14:13:05,2013-05-29 11:51:23
DBP0000066,CGM_DDB_STEPHY,2005-08-01 17:24:58,2013-05-29 11:07:25
DBP0000067,CGM_DDB_STEPHY,2005-03-10 14:54:19,2012-05-30 10:35:17
DBP0000068,CGM_DDB_STEPHY,2005-08-02 09:33:16,2013-05-29 11:08:59
DBP0000069,CGM_DDB_STEPHY,2005-08-01 18:44:26,2013-05-29 11:08:28
DBP0000070,CGM_DDB_STEPHY,2005-09-20 09:34:54,2013-05-28 11:14:01
DBP0000071,CGM_DDB_STEPHY,2005-11-28 13:40:24,2012-11-19 23:01:57
DBP0000072,CGM_DDB_STEPHY,2005-08-02 09:38:30,2013-05-29 10:58:23
DBP0000073,CGM_DDB_STEPHY,2005-11-10 11:11:31,2013-05-28 14:20:48
DBP0000074,CGM_DDB_STEPHY,2005-05-18 14:15:26,2013-05-28 13:20:29
DBP0000116,CGM_DDB_JAKOB,2005-05-11 15:05:02,2013-05-24 11:50:04
DBP0000290,CGM_DDB_JAKOB,2006-05-02 14:56:33,2016-01-29 11:00:24
DBP0000291,CGM_DDB_JAKOB,2006-05-03 15:39:08,2012-05-31 11:27:13
DBP0000292,CGM_DDB_JAKOB,2006-05-17 16:22:54,2012-05-31 11:28:56
DBP0000293,CGM_DDB_JAKOB,2006-05-17 16:23:34,2012-05-31 11:29:00
DBP0000294,CGM_DDB_JAKOB,2006-05-17 16:24:29,2012-05-31 11:29:04
DBP0000295,CGM_DDB_JAKOB,2006-05-17 16:24:45,2012-05-31 11:29:08
DBP0000296,CGM_DDB_JAKOB,2006-05-17 16:25:02,2012-05-31 11:29:12
DBP0000297,CGM_DDB_JAKOB,2006-05-17 16:57:06,2019-06-04 15:41:14
DBP0000298,CGM_DDB_JAKOB,2006-05-17 16:59:20,2012-05-31 11:29:59
DBP0000299,CGM_DDB_JAKOB,2006-07-31 13:20:45,2013-05-26 07:40:56
DBP0000300,CGM_DDB_JAKOB,2006-07-31 13:22:07,2013-05-26 07:42:34
DBP0000301,CGM_DDB_JAKOB,2006-07-31 13:24:58,2012-05-30 11:17:02
DBP0000302,CGM_DDB_JAKOB,2006-07-31 13:27:15,2013-05-28 12:42:41
DBP0000303,CGM_DDB_JAKOB,2006-07-31 13:28:14,2013-07-31 19:47:49
DBP0000305,CGM_DDB_JAKOB,2006-07-31 13:30:53,2013-05-26 07:51:18
DBP0000306,CGM_DDB_JAKOB,2006-07-31 13:32:20,2014-11-10 11:52:59
DBP0000307,CGM_DDB_JAKOB,2006-07-31 13:33:23,2012-05-30 11:14:02
DBP0000308,CGM_DDB_JAKOB,2006-07-31 13:34:05,2012-05-30 11:14:11
DBP0000309,CGM_DDB_JAKOB,2006-07-31 13:35:38,2012-05-30 11:14:19
DBP0000310,CGM_DDB_JAKOB,2006-07-31 13:37:58,2019-05-28 09:54:19
DBP0000311,CGM_DDB_JAKOB,2006-07-31 13:39:09,2013-01-02 12:26:58
DBP0000312,CGM_DDB_JAKOB,2006-07-31 13:41:00,2013-01-02 12:26:31
DBP0000313,CGM_DDB_JAKOB,2006-07-31 13:41:49,2019-10-11 13:21:33
DBP0000314,CGM_DDB_JAKOB,2006-07-31 13:42:44,2013-01-02 12:19:57
DBP0000315,CGM_DDB_JAKOB,2006-07-31 13:43:38,2013-01-02 12:25:34
DBP0000316,CGM_DDB_JAKOB,2006-07-31 13:44:34,2013-01-02 12:22:28
DBP0000317,CGM_DDB_JAKOB,2006-07-31 13:45:49,2013-01-02 12:23:26
DBP0000318,CGM_DDB_JAKOB,2006-07-31 13:46:59,2013-01-02 12:58:57
DBP0000319,CGM_DDB_JAKOB,2006-07-31 13:48:00,2008-09-11 10:43:50
DBP0000320,CGM_DDB_JAKOB,2006-07-31 13:48:14,2017-08-02 13:42:57
DBP0000321,CGM_DDB_JAKOB,2006-07-31 13:49:14,2008-09-11 10:43:49
DBP0000322,CGM_DDB_JAKOB,2006-07-31 13:50:14,2013-01-02 13:03:35
DBP0000323,CGM_DDB_JAKOB,2006-07-31 13:51:15,2013-01-02 12:29:59
DBP0000324,CGM_DDB_JAKOB,2006-07-31 13:52:08,2013-08-14 12:35:04
DBP0000325,CGM_DDB_JAKOB,2006-07-31 15:11:53,2012-05-30 11:45:17
DBP0000326,CGM_DDB_JAKOB,2006-07-31 15:13:19,2012-05-30 11:44:47
DBP0000327,CGM_DDB_JAKOB,2006-07-31 15:14:56,2012-05-30 11:45:51
DBP0000328,CGM_DDB_JAKOB,2006-07-31 15:26:16,2012-05-30 11:46:26
DBP0000329,CGM_DDB_JAKOB,2006-07-31 15:28:15,2012-05-30 11:47:27
DBP0000331,CGM_DDB_JAKOB,2006-07-31 15:30:53,2012-05-30 11:18:46
DBP0000333,CGM_DDB_JAKOB,2006-07-31 15:33:41,2012-05-30 11:19:22
DBP0000334,CGM_DDB_JAKOB,2006-07-31 15:35:03,2013-05-26 07:58:12
DBP0000335,CGM_DDB_JAKOB,2006-07-31 15:36:11,2012-05-30 11:17:36
DBP0000336,CGM_DDB_JAKOB,2006-08-31 10:31:22,2019-06-04 15:15:35
DBP0000339,CGM_DDB_JAKOB,2007-02-08 15:21:39,2019-06-04 15:16:59
DBP0000340,CGM_DDB_JAKOB,2007-02-08 15:28:33,2019-06-04 15:17:44
DBP0000341,CGM_DDB_JAKOB,2007-02-08 15:37:21,2019-06-04 15:18:04
DBP0000342,CGM_DDB_JAKOB,2007-02-08 15:45:22,2019-06-04 15:18:22
DBP0000346,CGM_DDB_JAKOB,2007-02-21 11:24:54,2013-05-26 08:00:20
DBP0000330,CGM_DDB_JAKOB,2006-07-31 15:29:32,2013-05-26 07:56:27
DBP0000344,CGM_DDB_JAKOB,2007-02-21 11:01:40,2013-05-26 08:06:06
DBP0000345,CGM_DDB_JAKOB,2007-02-21 11:17:22,2013-05-26 08:06:51
DBP0000332,CGM_DDB_JAKOB,2006-07-31 15:32:11,2012-05-30 11:19:00
DBP0000348,CGM_DDB_JAKOB,2007-03-30 13:29:51,2013-05-26 08:03:25
DBP0000350,CGM_DDB_JAKOB,2007-05-04 17:06:36,2008-09-11 10:43:50
DBP0000351,CGM_DDB_JAKOB,2007-05-11 14:18:24,2013-01-02 13:04:56
DBP0000354,CGM_DDB_JAKOB,2007-06-01 15:33:31,2013-01-02 13:02:13
DBP0000355,CGM_DDB_JAKOB,2007-06-08 11:20:45,2013-01-02 12:46:51
DBP0000356,CGM_DDB_JAKOB,2007-06-08 13:07:51,2013-08-14 12:25:14
DBP0000357,CGM_DDB_JAKOB,2007-06-08 13:10:16,2013-01-02 12:51:47
DBP0000364,CGM_DDB_JAKOB,2007-06-13 14:32:47,2013-01-02 13:06:00
DBP0000365,CGM_DDB_JAKOB,2007-06-13 14:44:21,2013-01-02 12:43:46
DBP0000366,CGM_DDB_JAKOB,2007-06-13 16:48:29,2013-01-02 12:45:14
DBP0000367,CGM_DDB_JAKOB,2007-07-06 16:38:27,2013-01-02 12:35:01
DBP0000368,CGM_DDB_JAKOB,2007-07-06 16:59:03,2013-01-02 12:35:36
DBP0000353,CGM_DDB_JAKOB,2007-06-01 15:18:21,2013-01-02 12:33:01
DBP0000369,CGM_DDB_JAKOB,2007-07-09 12:38:10,2015-01-21 12:23:38
DBP0000370,CGM_DDB_JAKOB,2007-07-09 12:52:58,2015-01-21 12:16:51
DBP0000371,CGM_DDB_JAKOB,2007-07-09 12:55:41,2015-01-21 12:27:09
DBP0000373,CGM_DDB_JAKOB,2007-07-09 13:00:21,2015-01-21 12:25:50
DBP0000374,CGM_DDB_JAKOB,2007-07-09 13:00:52,2015-01-21 12:24:30
DBP0000376,CGM_DDB_JAKOB,2007-07-13 15:13:33,2013-01-02 13:20:47
DBP0000377,CGM_DDB_JAKOB,2007-07-13 15:16:46,2013-01-02 13:19:34
DBP0000378,CGM_DDB_JAKOB,2007-07-30 22:07:10,2013-01-02 13:00:19
DBP0000379,CGM_DDB_JAKOB,2007-07-30 22:12:56,2013-01-02 13:11:14
DBP0000380,CGM_DDB_JAKOB,2007-07-30 22:14:46,2013-01-02 13:11:52
DBP0000381,CGM_DDB_JAKOB,2007-07-30 22:20:04,2013-01-02 13:15:37
DBP0000382,CGM_DDB_JAKOB,2007-07-30 22:25:13,2013-01-02 13:16:43
DBP0000383,CGM_DDB_JAKOB,2007-07-30 22:26:52,2021-05-07 15:09:41
DBP0000384,CGM_DDB_JAKOB,2007-07-30 22:51:22,2013-01-02 13:18:17
DBP0000385,CGM_DDB_JAKOB,2007-07-30 22:57:49,2013-01-02 12:49:36
DBP0000386,CGM_DDB_JAKOB,2007-08-20 16:07:55,2012-11-19 22:37:31
DBP0000387,CGM_DDB_JAKOB,2007-09-02 12:13:36,2013-05-28 11:45:04
DBP0000388,CGM_DDB_JAKOB,2007-09-02 12:23:31,2013-05-28 11:45:54
