DBS0236132	d2554
DBS0236132	d0557
DBS0236132	d1903
DBS0236135	d2554
DBS0236137	d2554
DBS0236137	d0557
DBS0236137	d1903
DBS0237058	d1988
DBS0236199	d1985
DBS0236199	d1469
DBS0236438	d4829
DBS0236136	d2554
DBS0235663	d3868
DBS0236231	d4233
DBS0235820	d1297
DBS0235786	d0084
DBS0235786	d1608
DBS0235786	d2517
DBS0236449	d4121
DBS0235745	d2094
DBS0235738	d5380
DBS0235953	d6438
DBS0235953	d7646
DBS0235953	12796307
DBS0235953	12796307
DBS0236631	d1985
DBS0237071	d1143
DBS0237071	d4865
DBS0237071	8207092
DBS0237071	8207092
DBS0236647	d1381
DBS0236647	d1653
DBS0236647	d2837
DBS0236324	d0057
DBS0236324	d0149
DBS0236324	d2560
DBS0237062	d2031
DBS0236266	d5453
DBS0236278	d5453
DBS0236263	d5453
DBS0235818	d1320
DBS0235823	d1320
DBS0235822	d1320
DBS0236961	d6477
DBS0236807	d0463
DBS0236807	d2715
DBS0236807	d0373
DBS0236807	d2517
DBS0236807	559083
DBS0236807	559083
DBS0236309	d8113
DBS0235528	d2187
DBS0235528	d1983
DBS0235528	d3234
DBS0235528	d1164
DBS0235692	d6349
DBS0235683	d6304
DBS0235689	d7187
DBS0235527	d2187
DBS0235527	d8113
DBS0236367	d7646
DBS0236367	d7716
DBS0236366	d7646
DBS0236979	d5158
DBS0237023	d5158
DBS0235463	d5204
DBS0235463	d5472
DBS0236997	d5726
DBS0237001	d5139
DBS0236738	d5158
DBS0236738	d5823
DBS0236740	d5823
DBS0236740	d5158
DBS0236247	d1099
DBS0235668	d5745
DBS0235670	d5812
DBS0236941	d6544
DBS0236447	d4121
DBS0236655	d1381
DBS0236627	d1985
DBS0236654	d1143
DBS0236168	d5166
DBS0236168	d3744
DBS0236168	d5804
DBS0236175	d5804
DBS0235923	d5804
DBS0235923	d4152
DBS0236951	d5924
DBS0235553	d0876
DBS0236167	d3744
DBS0236167	d5166
DBS0236353	d6363
DBS0236374	d7584
DBS0236375	d7584
DBS0236336	d8042
DBS0236373	d7584
DBS0236337	d8042
DBS0236344	d8042
DBS0236227	d1098
DBS0235851	d1297
DBS0236468	d6293
DBS0236469	d6293
DBS0236470	d6202
DBS0236472	d6202
DBS0236298	d5453
DBS0236420	d3868
DBS0236920	d7134
DBS0236920	d6461
DBS0236920	d8161
DBS0235549	d0876
DBS0235466	d5517
DBS0235466	d6098
DBS0236143	d6434
DBS0236725	d6134
DBS0237042	d7279
