DBS0237086	DP776 (XP64/XP71)
DBS0236624	DBS0237061
DBS0236651	DBS0236496	01-MAY-03
DBS0236651	DBS0236497	28-JAN-05
DBS0236142	DBS0236449	01-FEB-94
DBS0236142	DBS0236445	23-OCT-03
DBS0236142	DBS0236446	25-MAR-04
DBS0236142	DBS0236447	13-MAY-05
DBS0236142	DBS0236448	28-JUN-05
DBS0236142	DBS0236450	27-SEP-05
DBS0236673	DBS0237059	24-SEP-03
DBS0236290	DBS0235699	01-JAN-93
DBS0236290	DBS0235696	15-JUL-03
DBS0236290	DBS0235700	18-FEB-04
DBS0236290	DBS0235697	10-AUG-04
DBS0236290	DBS0235698	02-SEP-05
DBS0236290	DBS0235701	19-JAN-06
DBS0236290	DBS0238586	07-SEP-07
DBS0236290	DBS0266325	21-FEB-08
DBS0236663	DBS0236442	24-SEP-03
DBS0236251	HL65/X36
DBS0236245	HL16/HL204
DBS0236214	DBS0236213	01-JUL-04
DBS0236222	DBS0236213	01-JUL-04
DBS0236225	DBS0236213	01-JUL-04
DBS0236275	DBS0236267	01-OCT-03
DBS0236272	DBS0236267	01-OCT-03
DBS0236270	DBS0236266	01-OCT-03
DBS0236279	HM6 V12M2 derived
DBS0236622	DBS0237060	24-MAR-04
DBS0237075	HL100/NP452
DBS0236327	DBS0236323	15-NOV-05
DBS0236198	DP53 (NP62/NP68)
DBS0236648	DBS0237084	01-MAY-77
DBS0236648	DBS0237082	01-MAY-03
DBS0236648	DBS0237083	04-OCT-05
DBS0237082	NP194/X22
DBS0236687	DBS0237060	24-MAR-04
DBS0236401	DBS0236400	20-MAY-05
DBS0236672	DBS0236638	01-MAY-03
DBS0236200	DP53 (NP62/NP68)
DBS0236284	HM27 V12M2 derived
DBS0236668	DBS0237059	24-SEP-03
DBS0236693	DBS0237060	24-MAR-04
DBS0236614	DBS0237060	24-MAR-04
DBS0236615	DBS0237060	24-MAR-04
DBS0236619	DBS0237060	24-MAR-04
DBS0236140	DC212(XP95/NP160)
DBS0236530	DBS0236449	01-FEB-94
DBS0236530	DBS0236445	23-OCT-03
DBS0236530	DBS0236446	25-MAR-04
DBS0236530	DBS0236447	13-MAY-05
DBS0236530	DBS0236448	28-JUN-05
DBS0236530	DBS0236450	27-SEP-05
DBS0236496	NC4
DBS0237085	XP64/XP71
DBS0236660	DBS0236638	01-MAY-03
DBS0236637	NP12
DBS0237074	XP210/NP187
DBS0236443	DBS0236444	24-FEB-04
DBS0236642	DBS0237084	01-MAY-77
DBS0236642	DBS0237082	01-MAY-03
DBS0236642	DBS0237083	04-OCT-05
DBS0236689	DBS0237060	24-MAR-04
DBS0236867	DBS0235520	25-JUL-03
DBS0236867	DBS0235521	23-SEP-03
DBS0236867	DBS0235529	24-SEP-03
DBS0236867	DBS0235519	12-DEC-03
DBS0236867	DBS0235530	24-FEB-04
DBS0236867	DBS0235518	03-JUN-04
DBS0236867	DBS0235528	08-SEP-04
DBS0236867	DBS0235527	03-NOV-04
DBS0236867	DBS0235516	08-APR-05
DBS0236867	DBS0235524	15-APR-05
DBS0236867	DBS0235526	28-JUN-05
DBS0236867	DBS0235523	21-SEP-05
DBS0236867	DBS0235525	19-OCT-05
DBS0236867	DBS0235531	19-OCT-05
DBS0236867	DBS0237699	09-DEC-05
DBS0236867	DBS0235522	22-DEC-05
DBS0236867	DBS0235517	25-MAY-06
DBS0236867	DBS0235532	25-MAY-06
DBS0236867	DBS0237914	01-JUN-06
DBS0236867	DBS0238015	13-APR-07
DBS0236867	DBS0238585	07-SEP-07
DBS0236867	DBS0238747	09-NOV-07
DBS0235559	DBS0235541	27-JAN-05
DBS0235559	DBS0235542	14-JUN-05
DBS0235559	DBS0237700	09-DEC-05
DBS0235559	DBS0235539	16-MAR-06
DBS0235559	DBS0235543	10-MAY-06
DBS0235559	DBS0235540	25-MAY-06
DBS0236876	DBS0235699	01-JAN-93
DBS0236876	DBS0235696	15-JUL-03
DBS0236876	DBS0235700	18-FEB-04
DBS0236876	DBS0235697	10-AUG-04
DBS0236876	DBS0235698	02-SEP-05
DBS0236876	DBS0235701	19-JAN-06
DBS0236876	DBS0238586	07-SEP-07
DBS0236876	DBS0266325	21-FEB-08
DBS0236456	MP2
DBS0236488	DBS0237084	01-MAY-77
DBS0236488	DBS0237082	01-MAY-03
DBS0236488	DBS0237083	04-OCT-05
DBS0236396	DU1461(HL47/HU413)
DBS0236645	DBS0237060	24-MAR-04
DBS0236398	HU1493
DBS0236674	DBS0236638	01-MAY-03
DBS0236618	DBS0237060	24-MAR-04
DBS0236653	DBS0237084	01-MAY-77
DBS0236653	DBS0237082	01-MAY-03
DBS0236653	DBS0237083	04-OCT-05
DBS0236395	DBS0237084	01-MAY-77
DBS0236395	DBS0237082	01-MAY-03
DBS0236395	DBS0237083	04-OCT-05
DBS0236652	DBS0237059	24-SEP-03
DBS0236369	AX3-K
DBS0236641	DBS0236638	01-MAY-03
DBS0236694	DBS0237060	24-MAR-04
DBS0236639	DBS0235541	27-JAN-05
DBS0236639	DBS0235542	14-JUN-05
DBS0236639	DBS0237700	09-DEC-05
DBS0236639	DBS0235539	16-MAR-06
DBS0236639	DBS0235543	10-MAY-06
DBS0236639	DBS0235540	25-MAY-06
DBS0236265	DBS0237060	24-MAR-04
DBS0236408	DU584(XP99/NP187)
DBS0236148	AX2  (ATCC 4397)
DBS0236276	HM2 V12M2 derived
DBS0236962	AX3-K
DBS0237060	DP4(M28/NP14)
DBS0235972	DdB
DBS0235562	DBS0235699	01-JAN-93
DBS0235562	DBS0235696	15-JUL-03
DBS0235562	DBS0235700	18-FEB-04
DBS0235562	DBS0235697	10-AUG-04
DBS0235562	DBS0235698	02-SEP-05
DBS0235562	DBS0235701	19-JAN-06
DBS0235562	DBS0238586	07-SEP-07
DBS0235562	DBS0266325	21-FEB-08
DBS0236138	Synag 7/XP95
DBS0236638	DBS0304499	04-SEP-08
DBS0236670	DBS0236638	01-MAY-03
DBS0236391	DBS0237084	01-MAY-77
DBS0236391	DBS0237082	01-MAY-03
DBS0236391	DBS0237083	04-OCT-05
DBS0236683	DBS0237059	24-SEP-03
DBS0236677	DBS0236638	01-MAY-03
DBS0236643	DBS0237084	01-MAY-77
DBS0236643	DBS0237082	01-MAY-03
DBS0236643	DBS0237083	04-OCT-05
DBS0235700	DBS0235541	27-JAN-05
DBS0235700	DBS0235542	14-JUN-05
DBS0235700	DBS0237700	09-DEC-05
DBS0235700	DBS0235539	16-MAR-06
DBS0235700	DBS0235543	10-MAY-06
DBS0235700	DBS0235540	25-MAY-06
DBS0237044	DBS0237041	18-FEB-04
DBS0236428	A2cycR (WS582, WS-582)
DBS0236184	DBS0235534
DBS0236188	DBS0235534
DBS0236362	HR6
DBS0236229	DBS0235551
DBS0236254	V12M2
DBS0236528	LW6
DBS0235537	DBS0235520	25-JUL-03
DBS0235537	DBS0235521	23-SEP-03
DBS0235537	DBS0235529	24-SEP-03
DBS0235537	DBS0235519	12-DEC-03
DBS0235537	DBS0235530	24-FEB-04
DBS0235537	DBS0235518	03-JUN-04
DBS0235537	DBS0235528	08-SEP-04
DBS0235537	DBS0235527	03-NOV-04
DBS0235537	DBS0235516	08-APR-05
DBS0235537	DBS0235524	15-APR-05
DBS0235537	DBS0235526	28-JUN-05
DBS0235537	DBS0235523	21-SEP-05
DBS0235537	DBS0235525	19-OCT-05
DBS0235537	DBS0235531	19-OCT-05
DBS0235537	DBS0237699	09-DEC-05
DBS0235537	DBS0235522	22-DEC-05
DBS0235537	DBS0235517	25-MAY-06
DBS0235537	DBS0235532	25-MAY-06
DBS0235537	DBS0237914	01-JUN-06
DBS0235537	DBS0238015	13-APR-07
DBS0235537	DBS0238585	07-SEP-07
DBS0235537	DBS0238747	09-NOV-07
DBS0235548	DBS0235546	11-MAY-06
DBS0235548	DBS0304614	03-NOV-08
DBS0236486	DBS0235541	27-JAN-05
DBS0236486	DBS0235542	14-JUN-05
DBS0236486	DBS0237700	09-DEC-05
DBS0236486	DBS0235539	16-MAR-06
DBS0236486	DBS0235543	10-MAY-06
DBS0236486	DBS0235540	25-MAY-06
DBS0235564	RI9,RI-9
DBS0235565	RI9,RI-9
DBS0235627	DBS0236013	01-JAN-03
DBS0235627	DBS0236486	25-MAR-04
DBS0235627	DBS0236345	01-JUN-04
DBS0235627	DBS0236485	01-AUG-05
DBS0235627	DBS0236487	27-SEP-05
DBS0235627	DBS0266758	15-MAY-08
DBS0235627	DBS0237980
DBS0235629	DBS0235541	27-JAN-05
DBS0235629	DBS0235542	14-JUN-05
DBS0235629	DBS0237700	09-DEC-05
DBS0235629	DBS0235539	16-MAR-06
DBS0235629	DBS0235543	10-MAY-06
DBS0235629	DBS0235540	25-MAY-06
DBS0235630	DBS0235541	27-JAN-05
DBS0235630	DBS0235542	14-JUN-05
DBS0235630	DBS0237700	09-DEC-05
DBS0235630	DBS0235539	16-MAR-06
DBS0235630	DBS0235543	10-MAY-06
DBS0235630	DBS0235540	25-MAY-06
DBS0235984	DBS0236454	25-MAR-04
DBS0236451	DBS0236449	01-FEB-94
DBS0236451	DBS0236445	23-OCT-03
DBS0236451	DBS0236446	25-MAR-04
DBS0236451	DBS0236447	13-MAY-05
DBS0236451	DBS0236448	28-JUN-05
DBS0236451	DBS0236450	27-SEP-05
DBS0236446	DBS0236454	25-MAR-04
DBS0236376	82,fbxA-
DBS0236691	DBS0237060	24-MAR-04
DBS0236692	DBS0237060	24-MAR-04
DBS0236616	DBS0237060	24-MAR-04
DBS0235520	DBS0237979
DBS0236134	DBS0236151	01-FEB-87
DBS0236139	DC212(XP95/NP160)
DBS0236665	DBS0237084	01-MAY-77
DBS0236665	DBS0237082	01-MAY-03
DBS0236665	DBS0237083	04-OCT-05
DBS0236664	DBS0237072	24-MAR-04
DBS0236676	DBS0236638	01-MAY-03
DBS0236658	DBS0237084	01-MAY-77
DBS0236658	DBS0237082	01-MAY-03
DBS0236658	DBS0237083	04-OCT-05
DBS0236356	DBS0235699	01-JAN-93
DBS0236356	DBS0235696	15-JUL-03
DBS0236356	DBS0235700	18-FEB-04
DBS0236356	DBS0235697	10-AUG-04
DBS0236356	DBS0235698	02-SEP-05
DBS0236356	DBS0235701	19-JAN-06
DBS0236356	DBS0238586	07-SEP-07
DBS0236356	DBS0266325	21-FEB-08
DBS0236671	DBS0236638	01-MAY-03
DBS0236546	DBS0237699
DBS0236294	HM27 V12M2 derived
DBS0235529	DBS0237979
DBS0237059	DP3(M28/NP2)
DBS0237073	DP817(XP95/NP294)
DBS0237070	DP976(NP392/XP95)
DBS0237077	NP435/XP232
DBS0237078	HL100/NP453
DBS0237080	NP422/HL100
DBS0237081	DP1255(NP439/HU982)
DBS0236568	DBS0236312	24-MAR-04
DBS0236568	DBS0236313	11-AUG-04
DBS0236568	DBS0236314	15-NOV-05
DBS0236321	DPS39(X2/XM1)
DBS0236301	DBS0237059	24-SEP-03
DBS0236661	DP943(NP404/NP347)
DBS0236657	DBS0236638	01-MAY-03
DBS0237072	DP987(NP409/NP404)
DBS0236400	DU2457(HU1206/HU1583)
DBS0236636	DBS0236533	15-NOV-05
DBS0236644	DBS0237084	01-MAY-77
DBS0236644	DBS0237082	01-MAY-03
DBS0236644	DBS0237083	04-OCT-05
DBS0236354	HR6
DBS0236355	DBS0235699	01-JAN-93
DBS0236355	DBS0235696	15-JUL-03
DBS0236355	DBS0235700	18-FEB-04
DBS0236355	DBS0235697	10-AUG-04
DBS0236355	DBS0235698	02-SEP-05
DBS0236355	DBS0235701	19-JAN-06
DBS0236355	DBS0238586	07-SEP-07
DBS0236355	DBS0266325	21-FEB-08
DBS0236329	HR6
DBS0236484	DBS0235520	25-JUL-03
DBS0236484	DBS0235521	23-SEP-03
DBS0236484	DBS0235529	24-SEP-03
DBS0236484	DBS0235519	12-DEC-03
DBS0236484	DBS0235530	24-FEB-04
DBS0236484	DBS0235518	03-JUN-04
DBS0236484	DBS0235528	08-SEP-04
DBS0236484	DBS0235527	03-NOV-04
DBS0236484	DBS0235516	08-APR-05
DBS0236484	DBS0235524	15-APR-05
DBS0236484	DBS0235526	28-JUN-05
DBS0236484	DBS0235523	21-SEP-05
DBS0236484	DBS0235525	19-OCT-05
DBS0236484	DBS0235531	19-OCT-05
DBS0236484	DBS0237699	09-DEC-05
DBS0236484	DBS0235522	22-DEC-05
DBS0236484	DBS0235517	25-MAY-06
DBS0236484	DBS0235532	25-MAY-06
DBS0236484	DBS0237914	01-JUN-06
DBS0236484	DBS0238015	13-APR-07
DBS0236484	DBS0238585	07-SEP-07
DBS0236484	DBS0238747	09-NOV-07
DBS0236280	HM6 V12M2 derived
DBS0236287	DBS0236297	24-SEP-03
DBS0236300	HM2 V12M2 derived
DBS0236264	HM2 V12M2 derived
DBS0236271	HM2 V12M2 derived
DBS0236283	V12M2
DBS0236292	HM27 V12M2 derived
DBS0236293	V12M2
DBS0236295	HM27 V12M2 derived
DBS0236289	DBS0235699	01-JAN-93
DBS0236289	DBS0235696	15-JUL-03
DBS0236289	DBS0235700	18-FEB-04
DBS0236289	DBS0235697	10-AUG-04
DBS0236289	DBS0235698	02-SEP-05
DBS0236289	DBS0235701	19-JAN-06
DBS0236289	DBS0238586	07-SEP-07
DBS0236289	DBS0266325	21-FEB-08
DBS0236268	DBS0235699	01-JAN-93
DBS0236268	DBS0235696	15-JUL-03
DBS0236268	DBS0235700	18-FEB-04
DBS0236268	DBS0235697	10-AUG-04
DBS0236268	DBS0235698	02-SEP-05
DBS0236268	DBS0235701	19-JAN-06
DBS0236268	DBS0238586	07-SEP-07
DBS0236268	DBS0266325	21-FEB-08
DBS0236296	DBS0235699	01-JAN-93
DBS0236296	DBS0235696	15-JUL-03
DBS0236296	DBS0235700	18-FEB-04
DBS0236296	DBS0235697	10-AUG-04
DBS0236296	DBS0235698	02-SEP-05
DBS0236296	DBS0235701	19-JAN-06
DBS0236296	DBS0238586	07-SEP-07
DBS0236296	DBS0266325	21-FEB-08
DBS0236256	DBS0235699	01-JAN-93
DBS0236256	DBS0235696	15-JUL-03
DBS0236256	DBS0235700	18-FEB-04
DBS0236256	DBS0235697	10-AUG-04
DBS0236256	DBS0235698	02-SEP-05
DBS0236256	DBS0235701	19-JAN-06
DBS0236256	DBS0238586	07-SEP-07
DBS0236256	DBS0266325	21-FEB-08
DBS0236288	DBS0235699	01-JAN-93
DBS0236288	DBS0235696	15-JUL-03
